Date,Close
1/24/17,16.52
1/25/17,16.73
1/26/17,16.81
1/27/17,16.57
1/30/17,16.94
1/31/17,17.62
2/1/17,17.24
2/2/17,17.78
2/3/17,17.61
2/6/17,17.93
2/7/17,18.26
2/8/17,18.72
2/9/17,16.41
2/10/17,15.58
2/13/17,15.81
2/14/17,16.52
2/15/17,16.74
2/16/17,16.35
2/17/17,16.62
2/21/17,16.42
2/22/17,16.08
2/23/17,16.03
2/24/17,15.98
2/27/17,16.06
2/28/17,15.77
3/1/17,15.79
3/2/17,15.79
3/3/17,15.75
3/6/17,15.56
3/7/17,15.18
3/8/17,15.24
3/9/17,15.22
3/10/17,15.12
3/13/17,15.21
3/14/17,15.32
3/15/17,15.03
3/16/17,15.19
3/17/17,15.08
3/20/17,15.09
3/21/17,14.54
3/22/17,14.98
3/23/17,14.93
3/24/17,15.14
3/27/17,14.99
3/28/17,14.94
3/29/17,15.04
3/30/17,14.92
3/31/17,14.95
4/3/17,14.84
4/4/17,14.69
4/5/17,14.53
4/6/17,14.39
4/7/17,14.29
4/10/17,14.36
4/11/17,14.31
4/12/17,14.42
4/13/17,14.3
4/17/17,14.4
4/18/17,14.44
4/19/17,14.54
4/20/17,14.65
4/21/17,14.63
4/24/17,14.71
4/25/17,14.66
4/26/17,15.82
4/27/17,16.61
4/28/17,16.48
5/1/17,17.54
5/2/17,18.24
5/3/17,18.57
5/4/17,18.48
5/5/17,18.69
5/8/17,18.31
5/9/17,18.37
5/10/17,18.54
5/11/17,18.39
5/12/17,18.61
5/15/17,19.23
5/16/17,19.49
5/17/17,18.28
5/18/17,18.51
5/19/17,18.35
5/22/17,18.43
5/23/17,18.15
5/24/17,17.98
5/25/17,17.95
5/26/17,18.23
5/30/17,18.43
5/31/17,18.32
6/1/17,18.53
6/2/17,18.31
6/5/17,18.23
6/6/17,17.57
6/7/17,17.44
6/8/17,17.59
6/9/17,16.9
6/12/17,17.04
6/13/17,16.97
6/14/17,16.76
6/15/17,16.83
6/16/17,16.67
6/19/17,17.06
6/20/17,16.91
6/21/17,17.78
6/22/17,18.15
6/23/17,18.5
6/26/17,18.29
6/27/17,18.12
6/28/17,17.95
6/29/17,17.65
6/30/17,17.87
7/3/17,17.65
7/5/17,17.82
7/6/17,17.92
7/7/17,18.02
7/10/17,18.08
7/11/17,18.64
7/12/17,19.25
7/13/17,19.32
7/14/17,19.64
7/17/17,19.94
7/18/17,19.98
7/19/17,20.12
7/20/17,20.53
7/21/17,20.11
7/24/17,20
7/25/17,19.97
7/26/17,19.61
7/27/17,16.84
7/28/17,16.75
7/31/17,16.09
8/1/17,16.21
8/2/17,16.07
8/3/17,16.18
8/4/17,16.29
8/7/17,16.4
8/8/17,16.15
8/9/17,16.14
8/10/17,15.75
8/11/17,15.92
8/14/17,16.09
8/15/17,15.95
8/16/17,16.16
8/17/17,15.87
8/18/17,15.99
8/21/17,16.11
8/22/17,16.63
8/23/17,16.96
8/24/17,16.89
8/25/17,16.65
8/28/17,16.77
8/29/17,16.93
8/30/17,16.93
8/31/17,16.91
9/1/17,16.86
9/5/17,16.65
9/6/17,16.83
9/7/17,17.22
9/8/17,17.45
9/11/17,17.66
9/12/17,18.17
9/13/17,18.2
9/14/17,18.21
9/15/17,18.01
9/18/17,17.6
9/19/17,17.76
9/20/17,17.62
9/21/17,17.58
9/22/17,17.61
9/25/17,16.98
9/26/17,16.59
9/27/17,16.95
9/28/17,16.85
9/29/17,16.87
10/2/17,17.09
10/3/17,17.59
10/4/17,17.75
10/5/17,18.25
10/6/17,17.85
10/9/17,17.67
10/10/17,17.41
10/11/17,17.73
10/12/17,18.45
10/13/17,18.63
10/16/17,18.33
10/17/17,18.28
10/18/17,18.02
10/19/17,17.89
10/20/17,17.87
10/23/17,17.37
10/24/17,17.25
10/25/17,17.14
10/26/17,20.31
10/27/17,21.68
10/30/17,21.25
10/31/17,20.62
11/1/17,20.61
11/2/17,19.71
11/3/17,19.9
11/6/17,19.39
11/7/17,19.66
11/8/17,19.59
11/9/17,19.9
11/10/17,20.32
11/13/17,20.17
11/14/17,20.05
11/15/17,19.91
11/16/17,20.36
11/17/17,20.76
11/20/17,21.13
11/21/17,21.88
11/22/17,22.27
11/24/17,22.42
11/27/17,21.82
11/28/17,21.83
11/29/17,20.79
11/30/17,20.58
12/1/17,20.71
12/4/17,20.4
12/5/17,20.77
12/6/17,21.09
12/7/17,21.01
12/8/17,21.1
12/11/17,22.05
12/12/17,21.65
12/13/17,21.66
12/14/17,22.58
12/15/17,22.23
12/18/17,24.68
12/19/17,25.08
12/20/17,25.2
12/21/17,25.05
12/22/17,24.46
12/26/17,24.26
12/27/17,24.23
12/28/17,24.31
12/29/17,24.01
1/2/18,24.51
1/3/18,24.45
1/4/18,23.99
1/5/18,24.32
1/8/18,24.59
1/9/18,24.17
1/10/18,24.25
1/11/18,24.35
1/12/18,25.41
1/16/18,24.66
1/17/18,24.56
1/18/18,24.04
1/19/18,23.66
1/22/18,23.32
1/23/18,22.75
1/24/18,22.37
1/25/18,22.16
1/26/18,24.27
1/29/18,25.18
1/30/18,25.62
1/31/18,25.81
2/1/18,27.14
2/2/18,25.92
2/5/18,25.13
2/6/18,25.24
2/7/18,26.91
2/8/18,30.18
2/9/18,31.51
2/12/18,30.95
2/13/18,33.44
2/14/18,33.75
2/15/18,33.61
2/16/18,33.06
2/20/18,32.84
2/21/18,33.38
2/22/18,32.11
2/23/18,32.66
2/26/18,32.16
2/27/18,31.32
2/28/18,31.86
3/1/18,32.24
3/2/18,33
3/5/18,34.58
3/6/18,34.43
3/7/18,35.76
3/8/18,34.85
3/9/18,35.35
3/12/18,35.5
3/13/18,34.11
3/14/18,36.6
3/15/18,35.8
3/16/18,35.58
3/19/18,34.98
3/20/18,31.35
3/21/18,32.73
3/22/18,31.2
3/23/18,31.03
3/26/18,31.91
3/27/18,28.07
3/28/18,28.45
3/29/18,29.01
4/2/18,28.04
4/3/18,27.54
4/4/18,28.25
4/5/18,28.64
4/6/18,28.1
4/9/18,28.01
4/10/18,29.53
4/11/18,29.39
4/12/18,29
4/13/18,28.76
4/16/18,28.58
4/17/18,31.84
4/18/18,31.54
4/19/18,31.54
4/20/18,31.91
4/23/18,31.22
4/24/18,30.47
4/25/18,29.75
4/26/18,30.27
4/27/18,29
4/30/18,30.31
5/1/18,30.3
5/2/18,30.55
5/3/18,30.67
5/4/18,31.04
5/7/18,31.33
5/8/18,31.85
5/9/18,32.46
5/10/18,32.87
5/11/18,32.75
5/14/18,33.39
5/15/18,32.75
5/16/18,32.77
5/17/18,32.58
5/18/18,32.63
5/21/18,33.63
5/22/18,32.86
5/23/18,33.42
5/24/18,33.52
5/25/18,33.63
5/29/18,34.04
5/30/18,34.36
5/31/18,34.7
6/1/18,36.65
6/4/18,37.88
6/5/18,39.8
6/6/18,40.1
6/7/18,39.7
6/8/18,41.21
6/11/18,41.42
6/12/18,43.49
6/13/18,44.07
6/14/18,46.76
6/15/18,45.8
6/18/18,46
6/19/18,44.95
6/20/18,46.13
6/21/18,45.24
6/22/18,45.88
6/25/18,44.17
6/26/18,44.84
6/27/18,43.7
6/28/18,44.79
6/29/18,43.67
7/2/18,44.98
7/3/18,43.89
7/5/18,45.06
7/6/18,46.65
7/9/18,44.14
7/10/18,43.75
7/11/18,43.87
7/12/18,45.26
7/13/18,44.49
7/16/18,44.26
7/17/18,44.71
7/18/18,43.34
7/19/18,43.44
7/20/18,43.42
7/23/18,43.31
7/24/18,42.17
7/25/18,44.22
7/26/18,42.94
7/27/18,34.12
7/30/18,31.38
7/31/18,31.87
8/1/18,31.91
8/2/18,32.82
8/3/18,31.96
8/6/18,32.98
8/7/18,32.67
8/8/18,31.84
8/9/18,31.96
8/10/18,32.01
8/13/18,32.8
8/14/18,33.19
8/15/18,32.38
8/16/18,32.83
8/17/18,32.73
8/20/18,32.6
8/21/18,33.69
8/22/18,33.81
8/23/18,33.88
8/24/18,34.28
8/27/18,35.89
8/28/18,35.49
8/29/18,35.35
8/30/18,35.64
8/31/18,35.18
9/4/18,34.84
9/5/18,32.73
9/6/18,30.81
9/7/18,30.49
9/10/18,30.54
9/11/18,30.89
9/12/18,29.75
9/13/18,30.39
9/14/18,30.12
9/17/18,28.86
9/18/18,29.22
9/19/18,29.52
9/20/18,29.85
9/21/18,28.5
9/24/18,28.6
9/25/18,29.11
9/26/18,29.01
9/27/18,29.42
9/28/18,28.46
10/1/18,28.31
10/2/18,28.19
10/3/18,29.01
10/4/18,28.23
10/5/18,28.39
10/8/18,28.45
10/9/18,29.27
10/10/18,26.79
10/11/18,27
10/12/18,27.99
10/15/18,28.61
10/16/18,29.87
10/17/18,29.55
10/18/18,29.29
10/19/18,28.83
10/22/18,29.18
10/23/18,28.77
10/24/18,27.54
10/25/18,31.8
10/26/18,32.36
10/29/18,32.39
10/30/18,33.86
10/31/18,34.75
11/1/18,34.62
11/2/18,34.3
11/5/18,34.02
11/6/18,34.42
11/7/18,34.99
11/8/18,34.18
11/9/18,34.08
11/12/18,32.01
11/13/18,32.49
11/14/18,32.91
11/15/18,33.15
11/16/18,33.67
11/19/18,31.98
11/20/18,31.06
11/21/18,31.61
11/23/18,31.12
11/26/18,32.82
11/27/18,32.61
11/28/18,32.73
11/29/18,31.3
11/30/18,31.45
12/3/18,33.66
12/4/18,32.56
12/6/18,32.96
12/7/18,32.83
12/10/18,33.43
12/11/18,34.45
12/12/18,36.25
12/13/18,35.89
12/14/18,35.87
12/17/18,33.43
12/18/18,33.74
12/19/18,32.93
12/20/18,29.29
12/21/18,27.31
12/24/18,26.45
12/26/18,28.66
12/27/18,28.68
12/28/18,28.43
12/31/18,28.74
1/2/19,28.81
1/3/19,27.99
1/4/19,29.95
1/7/19,31.34
1/8/19,31.8
1/9/19,32.25
1/10/19,33.09
1/11/19,32.87
1/14/19,32.37
1/15/19,33.02
1/16/19,32.47
1/17/19,32.85
1/18/19,33.27
1/22/19,32.25
1/23/19,30.97
1/24/19,31.61
1/25/19,32.9
1/28/19,33.13
1/29/19,31.64
1/30/19,32.26
1/31/19,33.56
2/1/19,33.19
2/4/19,33.94
2/5/19,34.37
2/6/19,34.16
2/7/19,30.8
2/8/19,30.01
2/11/19,30.23
2/12/19,30.39
2/13/19,31.12
2/14/19,30.96
2/15/19,31.23
2/19/19,31.65
2/20/19,31.37
2/21/19,30.76
2/22/19,31.71
2/25/19,31.99
2/26/19,31.01
2/27/19,30.41
2/28/19,30.78
3/1/19,30.62
3/4/19,30.5
3/5/19,31.03
3/6/19,30.8
3/7/19,30.12
3/8/19,30.04
3/11/19,30.87
3/12/19,31.16
3/13/19,31.3
3/14/19,31.03
3/15/19,31.22
3/18/19,31.08
3/19/19,31.27
3/20/19,32.57
3/21/19,32.61
3/22/19,33.02
3/25/19,32.59
3/26/19,33.06
3/27/19,32.28
3/28/19,32.87
3/29/19,32.88
4/1/19,33.44
4/2/19,33.75
4/3/19,34.38
4/4/19,34.42
4/5/19,34.72
4/8/19,34.86
4/9/19,35.14
4/10/19,34.75
4/11/19,34.58
4/12/19,34.37
4/15/19,34.71
4/16/19,34.46
4/17/19,34.48
4/18/19,34.4
4/22/19,34.39
4/23/19,39.77
4/24/19,39.29
4/25/19,38.48
4/26/19,38.67
4/29/19,39.78
4/30/19,39.91
5/1/19,39.29
5/2/19,39.95
5/3/19,40.8
5/6/19,40.23
5/7/19,38.62
5/8/19,38.58
5/9/19,38.79
5/10/19,38.45
5/13/19,36.59
